group,variable,value,color_index,score_index,grid_index
1,1,100,1,C,1
2,1,100,2,C,2
3,1,100,3,C,3
4,1,100,4,C,4
W,1,100,W,1,5
B,1,100,B,2,6
1,2,100,5,C,7
2,2,100,6,C,8
3,2,100,7,C,9
4,2,100,8,C,10
W,2,100,W,3,11
B,2,100,B,4,12
1,3,100,9,C,13
2,3,100,10,C,14
3,3,100,11,C,15
4,3,100,12,C,16
W,3,100,W,5,17
B,3,100,B,6,18
1,4,100,13,C,19
2,4,100,14,C,20
3,4,100,15,C,21
4,4,100,16,C,22
W,4,100,W,7,23
B,4,100,B,8,24
1,5,100,17,C,25
2,5,100,18,C,26
3,5,100,19,C,27
4,5,100,20,C,28
W,5,100,W,9,29
B,5,100,B,10,30
1,6,100,21,C,31
2,6,100,22,C,32
3,6,100,23,C,33
4,6,100,24,C,34
W,6,100,W,11,35
B,6,100,B,12,36
1,7,100,25,C,37
2,7,100,26,C,38
3,7,100,27,C,39
4,7,100,28,C,40
W,7,100,W,13,41
B,7,100,B,14,42
1,8,100,29,C,43
2,8,100,30,C,44
3,8,100,31,C,45
4,8,100,32,C,46
W,8,100,W,15,47
B,8,100,B,16,48
1,9,100,33,C,49
2,9,100,34,C,50
3,9,100,35,C,51
4,9,100,36,C,52
W,9,100,W,17,53
B,9,100,B,18,54
