group,variable,value,color_index,score_index,grid_index
1,1,100,1,C,1
2,1,100,2,C,2
3,1,100,3,C,3
4,1,100,4,C,4
5,1,100,5,C,5
W,1,100,W,1,6
B,1,100,B,2,7
1,2,100,6,C,8
2,2,100,7,C,9
3,2,100,8,C,10
4,2,100,9,C,11
5,2,100,10,C,12
W,2,100,W,3,13
B,2,100,B,4,14
1,3,100,11,C,15
2,3,100,12,C,16
3,3,100,13,C,17
4,3,100,14,C,18
5,3,100,15,C,19
W,3,100,W,5,20
B,3,100,B,6,21
1,4,100,16,C,22
2,4,100,17,C,23
3,4,100,18,C,24
4,4,100,19,C,25
5,4,100,20,C,26
W,4,100,W,7,27
B,4,100,B,8,28
1,5,100,21,C,29
2,5,100,22,C,30
3,5,100,23,C,31
4,5,100,24,C,32
5,5,100,25,C,33
W,5,100,W,9,34
B,5,100,B,10,35
1,6,100,26,C,36
2,6,100,27,C,37
3,6,100,28,C,38
4,6,100,29,C,39
5,6,100,30,C,40
W,6,100,W,11,41
B,6,100,B,12,42
1,7,100,31,C,43
2,7,100,32,C,44
3,7,100,33,C,45
4,7,100,34,C,46
5,7,100,35,C,47
W,7,100,W,13,48
B,7,100,B,14,49
1,8,100,36,C,50
2,8,100,37,C,51
3,8,100,38,C,52
4,8,100,39,C,53
5,8,100,40,C,54
W,8,100,W,15,55
B,8,100,B,16,56
1,9,100,41,C,57
2,9,100,42,C,58
3,9,100,43,C,59
4,9,100,44,C,60
5,9,100,45,C,61
W,9,100,W,17,62
B,9,100,B,18,63
